"Date","Price","Open","High","Low","Change %"
"May 01","1.2363","1.2373","1.2477","1.2178","-0.17%"
"Apr 01","1.2384","1.2032","1.2649","1.1951","2.81%"
"Mar 01","1.2046","1.2203","1.2264","1.1787","-1.44%"
"Feb 01","1.2222","1.2378","1.2515","1.2031","-1.26%"
"Jan 01","1.2378","1.2590","1.2753","1.2112","-1.75%"
"Dec 00","1.2599","1.2810","1.2979","1.2511","-1.66%"
"Nov 00","1.2812","1.3149","1.3317","1.2773","-2.06%"
"Oct 00","1.3081","1.3308","1.3552","1.2875","-1.77%"
"Sep 00","1.3317","1.3496","1.3659","1.2903","-1.36%"
"Aug 00","1.3501","1.2768","1.3528","1.2684","5.75%"
"Jul 00","1.2767","1.2742","1.2908","1.2559","0.28%"
"Jun 00","1.2731","1.2490","1.2969","1.2315","1.77%"
"May 00","1.2509","1.2037","1.2691","1.1911","3.96%"
"Apr 00","1.2032","1.2209","1.2250","1.1867","-1.68%"
"Mar 00","1.2238","1.2602","1.2666","1.2129","-3.01%"
"Feb 00","1.2618","1.2840","1.3049","1.2571","-1.87%"
"Jan 00","1.2859","1.2495","1.3150","1.2461","2.56%"
"Dec 99","1.2538","1.2464","1.2984","1.2326","0.46%"
"Nov 99","1.2481","1.2580","1.2643","1.2289","-0.26%"
"Oct 99","1.2513","1.2555","1.2803","1.2479","-0.66%"
"Sep 99","1.2596","1.2354","1.2818","1.2041","1.91%"
"Aug 99","1.2360","1.2246","1.2413","1.1833","0.70%"
"Jul 99","1.2274","1.2463","1.2748","1.1967","-1.52%"
"Jun 99","1.2464","1.2133","1.2551","1.2011","2.64%"
"May 99","1.2143","1.1800","1.2225","1.1665","2.59%"
"Apr 99","1.1837","1.1837","1.1926","1.1470","-0.24%"
"Mar 99","1.1865","1.1846","1.1997","1.1554","0.20%"
"Feb 99","1.1841","1.1647","1.1998","1.1405","1.33%"
"Jan 99","1.1686","1.1603","1.1966","1.1364","0.40%"
"Dec 98","1.1640","1.1957","1.2100","1.1541","-2.72%"
"Nov 98","1.1965","1.1804","1.2122","1.1545","1.55%"
"Oct 98","1.1782","1.1814","1.2151","1.1401","-0.49%"
"Sep 98","1.1840","1.1431","1.1938","1.1348","3.23%"
"Aug 98","1.1469","1.1845","1.1922","1.1182","-3.30%"
"Jul 98","1.1861","1.1943","1.2020","1.1631","-0.55%"
"Jun 98","1.1927","1.1661","1.2048","1.1459","2.26%"
"May 98","1.1663","1.1721","1.1848","1.1430","-0.61%"
"Apr 98","1.1735","1.1993","1.2064","1.1427","-2.13%"
"Mar 98","1.1991","1.1614","1.2050","1.1268","3.41%"
"Feb 98","1.1596","1.1560","1.1679","1.1323","-0.99%"
"Jan 98","1.1712","1.1201","1.1747","1.0998","4.53%"
"Dec 97","1.1204","1.1066","1.1372","1.0929","1.36%"
"Nov 97","1.1054","1.1289","1.1450","1.0893","-1.90%"
"Oct 97","1.1268","1.1288","1.1543","1.1058","-0.27%"
"Sep 97","1.1299","1.1451","1.1562","1.1088","-1.40%"
"Aug 97","1.1459","1.1495","1.1715","1.1351","-0.49%"
"Jul 97","1.1516","1.1065","1.1555","1.0908","3.93%"
"Jun 97","1.1081","1.1027","1.1160","1.0821","0.44%"
"May 97","1.1032","1.1250","1.1406","1.0922","-2.04%"
"Apr 97","1.1262","1.1295","1.1381","1.1083","-0.49%"
"Mar 97","1.1317","1.1182","1.1461","1.1055","0.99%"
"Feb 97","1.1206","1.1050","1.1321","1.0892","1.24%"
"Jan 97","1.1069","1.1239","1.1260","1.0918","-1.64%"
"Dec 96","1.1254","1.1471","1.1525","1.1135","-1.76%"
"Nov 96","1.1456","1.1177","1.1487","1.1031","2.29%"
"Oct 96","1.1200","1.1311","1.1470","1.1091","-1.06%"
"Sep 96","1.1320","1.1472","1.1557","1.1164","-1.14%"
"Aug 96","1.1450","1.1240","1.1485","1.1235","2.00%"
"Jul 96","1.1226","1.1497","1.1639","1.1140","-2.48%"
"Jun 96","1.1511","1.1744","1.1843","1.1406","-2.16%"
"May 96","1.1765","1.1441","1.1795","1.1437","2.68%"
"Apr 96","1.1458","1.1472","1.1724","1.1364","-0.26%"
"Mar 96","1.1488","1.1344","1.1580","1.1181","1.23%"
"Feb 96","1.1348","1.1097","1.1409","1.1033","2.19%"
"Jan 96","1.1105","1.1368","1.1453","1.0979","-2.33%"
"Dec 95","1.1370","1.1381","1.1551","1.1270","-0.18%"
"Nov 95","1.1391","1.1532","1.1658","1.1228","-1.38%"
"Oct 95","1.1550","1.1484","1.1772","1.1263","0.47%"
"Sep 95","1.1496","1.1511","1.1691","1.1197","-0.25%"
"Aug 95","1.1525","1.0925","1.1707","1.0919","5.39%"
"Jul 95","1.0936","1.0589","1.1025","1.0487","3.13%"
"Jun 95","1.0604","1.0786","1.0895","1.0563","-1.74%"
"May 95","1.0792","1.0812","1.1202","1.0687","-0.30%"
"Apr 95","1.0824","1.1169","1.1283","1.0735","-3.49%"
"Mar 95","1.1215","1.1638","1.1656","1.1106","-3.71%"
"Feb 95","1.1647","1.1852","1.1909","1.1582","-1.78%"
"Jan 95","1.1858","1.2098","1.2127","1.1818","-2.08%"
"Dec 94","1.2110","1.2199","1.2261","1.2009","-1.05%"
"Nov 94","1.2239","1.2043","1.2287","1.1995","1.53%"
"Oct 94","1.2054","1.2260","1.2320","1.1888","-1.90%"
"Sep 94","1.2287","1.2311","1.2420","1.2181","-0.35%"
"Aug 94","1.2330","1.2247","1.2465","1.2079","0.31%"
"Jul 94","1.2292","1.2235","1.2402","1.1989","0.41%"
"Jun 94","1.2242","1.2422","1.2554","1.2084","-1.46%"
"May 94","1.2423","1.2425","1.2546","1.2170","0.24%"
"Apr 94","1.2393","1.2520","1.2828","1.2308","-1.00%"
"Mar 94","1.2518","1.2387","1.2578","1.2197","1.03%"
"Feb 94","1.2390","1.2460","1.2716","1.2277","-0.67%"
"Jan 94","1.2473","1.2158","1.2532","1.2040","2.63%"
"Dec 93","1.2153","1.2046","1.2226","1.1898","0.82%"
"Nov 93","1.2054","1.2027","1.2422","1.1820","0.27%"
"Oct 93","1.2021","1.1739","1.2080","1.1694","2.32%"
"Sep 93","1.1749","1.2132","1.2147","1.1519","-3.24%"
"Aug 93","1.2143","1.2438","1.2564","1.1996","-2.44%"
"Jul 93","1.2447","1.2386","1.2522","1.2058","0.35%"
"Jun 93","1.2404","1.2507","1.2712","1.2200","-0.99%"
"May 93","1.2528","1.3054","1.3091","1.2463","-3.99%"
"Apr 93","1.3049","1.3254","1.3402","1.2932","-1.59%"
"Mar 93","1.3260","1.3279","1.3507","1.3001","-0.20%"
"Feb 93","1.3287","1.3125","1.3371","1.2855","1.03%"
"Jan 93","1.3152","1.3355","1.3418","1.2774","-1.98%"
"Dec 92","1.3417","1.3303","1.3491","1.3100","0.71%"
"Nov 92","1.3323","1.3210","1.3398","1.2931","0.63%"
"Oct 92","1.3239","1.3240","1.3360","1.2882","-0.24%"
"Sep 92","1.3271","1.3231","1.3566","1.3004","0.14%"
"Aug 92","1.3252","1.3630","1.3771","1.3023","-2.85%"
"Jul 92","1.3641","1.3726","1.3842","1.3367","-0.68%"
"Jun 92","1.3734","1.4114","1.4313","1.3573","-2.77%"
"May 92","1.4125","1.4165","1.4238","1.3760","0.44%"
"Apr 92","1.4063","1.4049","1.4369","1.3744","-0.29%"
"Mar 92","1.4104","1.4090","1.4182","1.3499","2.40%"
"Feb 92","1.3773","1.3759","1.4013","1.3519","-0.83%"
"Jan 92","1.3888","1.3869","1.4109","1.3363","-0.95%"
"Dec 91","1.4021","1.3998","1.4232","1.3601","0.44%"
"Nov 91","1.3960","1.3945","1.4107","1.3606","-0.17%"
"Oct 91","1.3984","1.3971","1.4262","1.3872","-0.70%"
"Sep 91","1.4083","1.4070","1.4134","1.3404","3.12%"
"Aug 91","1.3657","1.3640","1.3759","1.3433","0.32%"
"Jul 91","1.3614","1.3601","1.3767","1.3327","2.30%"
"Jun 91","1.3308","1.3296","1.3334","1.2925","1.79%"
"May 91","1.3074","1.3060","1.3343","1.2967","-1.51%"
"Apr 91","1.3275","1.3261","1.3360","1.3084","0.80%"
"Mar 91","1.3169","1.3149","1.3247","1.2805","0.45%"
"Feb 91","1.3110","1.3096","1.3190","1.2865","0.40%"
"Jan 91","1.3058","1.3042","1.3283","1.2976","-0.62%"
"Dec 90","1.3140","1.3115","1.3228","1.2588","3.46%"
"Nov 90","1.2700","1.2684","1.2914","1.2457","-0.29%"
"Oct 90","1.2737","1.2730","1.3588","1.2658","-4.88%"
"Sep 90","1.3390","1.3374","1.3592","1.3060","1.19%"
"Aug 90","1.3233","1.3216","1.3485","1.2947","-1.08%"
"Jul 90","1.3377","1.3364","1.3707","1.3138","-0.76%"
"Jun 90","1.3480","1.3466","1.3481","1.3351","1.28%"
"May 90","1.3310","1.3293","1.3310","1.3293","1.92%"
"Apr 90","1.3059","1.3043","1.3059","1.3043","0.33%"
"Mar 90","1.3016","1.2996","1.3016","1.2996","0.60%"
"Feb 90","1.2939","1.2922","1.2939","1.2922","0.75%"
"Jan 90","1.2843","1.2827","1.2843","1.2827","-3.25%"
