Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr
Paraparaumu Aero,Apr-09,2,13.2,-
Paraparaumu Aero,Apr-09,9,182.8,-
Paraparaumu Aero,May-09,0,97.5,-
Paraparaumu Aero,May-09,2,10.3,-
Paraparaumu Aero,May-09,9,140.7,-
Paraparaumu Aero,Jun-09,0,41.8,-
Paraparaumu Aero,Jun-09,2,8.2,-
Paraparaumu Aero,Jun-09,9,101.2,-
Paraparaumu Aero,Jul-09,0,56.1,-
Paraparaumu Aero,Jul-09,2,8.3,-
Paraparaumu Aero,Jul-09,9,89.7,-
Paraparaumu Aero,Aug-09,0,117.1,-
Paraparaumu Aero,Aug-09,2,10.4,-
Paraparaumu Aero,Aug-09,9,180.1,-
Paraparaumu Aero,Sep-09,0,92,-
Paraparaumu Aero,Sep-09,2,11,-
Paraparaumu Aero,Sep-09,9,164.7,-
Paraparaumu Aero,Oct-09,0,147.6,-
Paraparaumu Aero,Oct-09,2,11.5,-
Paraparaumu Aero,Oct-09,9,162.7,-
Paraparaumu Aero,Nov-09,0,106.2,-
Paraparaumu Aero,Nov-09,2,13.8,-
Paraparaumu Aero,Nov-09,9,180.6,-
Paraparaumu Aero,Dec-09,0,105.8,-
Paraparaumu Aero,Dec-09,2,15.5,-
Paraparaumu Aero,Dec-09,9,187.1,-
Paraparaumu Aero,Jan-10,0,44.6,-
Paraparaumu Aero,Jan-10,2,16.5,-
Paraparaumu Aero,Jan-10,9,188.5,-
Paraparaumu Aero,Feb-10,0,31.1,-
Paraparaumu Aero,Feb-10,2,18.1,-
Paraparaumu Aero,Feb-10,9,208.5,-
Paraparaumu Aero,Mar-10,0,32.7,-
Paraparaumu Aero,Mar-10,2,16.1,-
Paraparaumu Aero,Mar-10,9,215.9,-
Paraparaumu Aero,Apr-10,0,65,-
Paraparaumu Aero,Apr-10,2,14.6,-
Paraparaumu Aero,Apr-10,9,157.7,-
Paraparaumu Aero,May-10,0,69.9,-
Paraparaumu Aero,May-10,2,12,-
Paraparaumu Aero,May-10,9,126.2,-
Paraparaumu Aero,Jun-10,0,148.9,-
Paraparaumu Aero,Jun-10,2,10.1,-
Paraparaumu Aero,Jun-10,9,80.5,-
